iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
COL;South America;Colombia;2020-04-11;2709.0;236.0;186.143;100.0;20.0;9.714;52.842;4.603;3.631;1.951;0.39;0.189;1.31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-12;2776.0;67.0;184.429;109.0;9.0;10.571;54.149;1.307;3.597;2.126;0.176;0.206;1.21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-715.1;-1.02;-6.72;-13.94885924
COL;South America;Colombia;2020-04-13;2852.0;76.0;181.857;112.0;3.0;9.429;55.632;1.482;3.547;2.185;0.059;0.184;1.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-14;2979.0;127.0;171.286;127.0;15.0;11.0;58.109;2.477;3.341;2.477;0.293;0.215;1.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.26;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-15;3105.0;126.0;150.143;131.0;4.0;11.0;60.567;2.458;2.929;2.555;0.078;0.215;1.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.26;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-16;3233.0;128.0;144.286;144.0;13.0;10.714;63.063;2.497;2.814;2.809;0.254;0.209;1.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.26;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-17;3439.0;206.0;138.0;153.0;9.0;10.429;67.082;4.018;2.692;2.984;0.176;0.203;1.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.26;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-18;3621.0;182.0;130.286;166.0;13.0;9.429;70.632;3.55;2.541;3.238;0.254;0.184;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.26;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-19;3792.0;171.0;145.143;179.0;13.0;10.0;73.967;3.336;2.831;3.492;0.254;0.195;1.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.26;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-927.6;-1.24;-4.64;-18.0939195
COL;South America;Colombia;2020-04-20;3977.0;185.0;160.714;189.0;10.0;11.0;77.576;3.609;3.135;3.687;0.195;0.215;1.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.26;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-21;4149.0;172.0;167.143;196.0;7.0;9.857;80.931;3.355;3.26;3.823;0.137;0.192;1.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.26;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-22;4356.0;207.0;178.714;206.0;10.0;10.714;84.969;4.038;3.486;4.018;0.195;0.209;1.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.26;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-23;4561.0;205.0;189.714;215.0;9.0;10.143;88.968;3.999;3.701;4.194;0.176;0.198;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.26;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-24;4881.0;320.0;206.0;225.0;10.0;10.286;95.21;6.242;4.018;4.389;0.195;0.201;1.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.04;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
